Category: All categories

Day,"""covid symptoms"": (California)"
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,1
2020-02-28,1
2020-02-29,3
2020-03-01,1
2020-03-02,3
2020-03-03,1
2020-03-04,3
2020-03-05,3
2020-03-06,3
2020-03-07,1
2020-03-08,1
2020-03-09,2
2020-03-10,5
2020-03-11,6
2020-03-12,7
2020-03-13,9
2020-03-14,14
2020-03-15,11
2020-03-16,16
2020-03-17,23
2020-03-18,19
2020-03-19,12
2020-03-20,15
2020-03-21,18
2020-03-22,14
2020-03-23,14
2020-03-24,15
2020-03-25,11
2020-03-26,8
2020-03-27,15
2020-03-28,10
2020-03-29,9
2020-03-30,13
2020-03-31,8
2020-04-01,14
2020-04-02,17
2020-04-03,13
2020-04-04,12
2020-04-05,9
2020-04-06,20
2020-04-07,44
2020-04-08,41
2020-04-09,27
2020-04-10,36
2020-04-11,38
2020-04-12,48
2020-04-13,28
2020-04-14,37
2020-04-15,35
2020-04-16,33
2020-04-17,29
2020-04-18,29
2020-04-19,27
2020-04-20,26
2020-04-21,34
2020-04-22,27
2020-04-23,30
2020-04-24,29
2020-04-25,29
2020-04-26,29
2020-04-27,31
2020-04-28,25
2020-04-29,25
2020-04-30,22
2020-05-01,23
2020-05-02,24
2020-05-03,37
2020-05-04,25
2020-05-05,31
2020-05-06,26
2020-05-07,22
2020-05-08,23
2020-05-09,27
2020-05-10,36
2020-05-11,27
2020-05-12,28
2020-05-13,30
2020-05-14,22
2020-05-15,34
2020-05-16,32
2020-05-17,19
2020-05-18,19
2020-05-19,26
2020-05-20,19
2020-05-21,23
2020-05-22,22
2020-05-23,29
2020-05-24,21
2020-05-25,27
2020-05-26,26
2020-05-27,28
2020-05-28,30
2020-05-29,31
2020-05-30,27
2020-05-31,23
2020-06-01,22
2020-06-02,23
2020-06-03,17
2020-06-04,29
2020-06-05,29
2020-06-06,23
2020-06-07,28
2020-06-08,29
2020-06-09,38
2020-06-10,18
2020-06-11,18
2020-06-12,29
2020-06-13,22
2020-06-14,39
2020-06-15,31
2020-06-16,40
2020-06-17,40
2020-06-18,29
2020-06-19,31
2020-06-20,34
2020-06-21,34
2020-06-22,50
2020-06-23,34
2020-06-24,24
2020-06-25,41
2020-06-26,61
2020-06-27,79
2020-06-28,78
2020-06-29,82
2020-06-30,91
2020-07-01,92
2020-07-02,86
2020-07-03,84
2020-07-04,89
2020-07-05,81
2020-07-06,85
2020-07-07,93
2020-07-08,100
2020-07-09,96
2020-07-10,84
2020-07-11,89
2020-07-12,86
2020-07-13,83
2020-07-14,94
2020-07-15,72
2020-07-16,70
2020-07-17,62
2020-07-18,60
2020-07-19,62
