Category: All categories

Day,"""covid symptoms"": (Washington)"
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,7
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,6
2020-03-01,6
2020-03-02,11
2020-03-03,8
2020-03-04,6
2020-03-05,6
2020-03-06,11
2020-03-07,6
2020-03-08,0
2020-03-09,0
2020-03-10,6
2020-03-11,8
2020-03-12,22
2020-03-13,17
2020-03-14,16
2020-03-15,29
2020-03-16,22
2020-03-17,25
2020-03-18,20
2020-03-19,17
2020-03-20,8
2020-03-21,22
2020-03-22,6
2020-03-23,18
2020-03-24,16
2020-03-25,14
2020-03-26,23
2020-03-27,27
2020-03-28,15
2020-03-29,30
2020-03-30,8
2020-03-31,40
2020-04-01,21
2020-04-02,30
2020-04-03,11
2020-04-04,18
2020-04-05,18
2020-04-06,25
2020-04-07,44
2020-04-08,42
2020-04-09,66
2020-04-10,14
2020-04-11,68
2020-04-12,13
2020-04-13,51
2020-04-14,41
2020-04-15,26
2020-04-16,48
2020-04-17,33
2020-04-18,21
2020-04-19,20
2020-04-20,26
2020-04-21,29
2020-04-22,47
2020-04-23,49
2020-04-24,29
2020-04-25,26
2020-04-26,33
2020-04-27,47
2020-04-28,26
2020-04-29,26
2020-04-30,17
2020-05-01,27
2020-05-02,31
2020-05-03,32
2020-05-04,13
2020-05-05,36
2020-05-06,39
2020-05-07,22
2020-05-08,22
2020-05-09,44
2020-05-10,25
2020-05-11,24
2020-05-12,48
2020-05-13,21
2020-05-14,32
2020-05-15,28
2020-05-16,36
2020-05-17,18
2020-05-18,29
2020-05-19,26
2020-05-20,36
2020-05-21,16
2020-05-22,27
2020-05-23,12
2020-05-24,42
2020-05-25,44
2020-05-26,24
2020-05-27,13
2020-05-28,16
2020-05-29,17
2020-05-30,35
2020-05-31,23
2020-06-01,31
2020-06-02,13
2020-06-03,26
2020-06-04,26
2020-06-05,34
2020-06-06,26
2020-06-07,32
2020-06-08,32
2020-06-09,25
2020-06-10,24
2020-06-11,18
2020-06-12,21
2020-06-13,24
2020-06-14,15
2020-06-15,24
2020-06-16,50
2020-06-17,36
2020-06-18,48
2020-06-19,23
2020-06-20,12
2020-06-21,25
2020-06-22,23
2020-06-23,37
2020-06-24,20
2020-06-25,26
2020-06-26,29
2020-06-27,54
2020-06-28,59
2020-06-29,77
2020-06-30,51
2020-07-01,66
2020-07-02,72
2020-07-03,77
2020-07-04,75
2020-07-05,51
2020-07-06,81
2020-07-07,100
2020-07-08,98
2020-07-09,72
2020-07-10,69
2020-07-11,92
2020-07-12,52
2020-07-13,78
2020-07-14,100
2020-07-15,55
2020-07-16,40
2020-07-17,40
2020-07-18,39
2020-07-19,60
