Category: All categories

Day,"""covid symptoms"": (Connecticut)"
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,13
2020-03-10,0
2020-03-11,13
2020-03-12,37
2020-03-13,0
2020-03-14,47
2020-03-15,15
2020-03-16,51
2020-03-17,25
2020-03-18,13
2020-03-19,25
2020-03-20,12
2020-03-21,14
2020-03-22,14
2020-03-23,11
2020-03-24,12
2020-03-25,12
2020-03-26,0
2020-03-27,35
2020-03-28,13
2020-03-29,26
2020-03-30,11
2020-03-31,11
2020-04-01,23
2020-04-02,22
2020-04-03,11
2020-04-04,27
2020-04-05,40
2020-04-06,34
2020-04-07,70
2020-04-08,67
2020-04-09,34
2020-04-10,88
2020-04-11,81
2020-04-12,55
2020-04-13,93
2020-04-14,71
2020-04-15,23
2020-04-16,81
2020-04-17,57
2020-04-18,50
2020-04-19,54
2020-04-20,98
2020-04-21,98
2020-04-22,55
2020-04-23,33
2020-04-24,65
2020-04-25,56
2020-04-26,25
2020-04-27,32
2020-04-28,57
2020-04-29,34
2020-04-30,10
2020-05-01,34
2020-05-02,28
2020-05-03,100
2020-05-04,33
2020-05-05,52
2020-05-06,44
2020-05-07,45
2020-05-08,34
2020-05-09,38
2020-05-10,0
2020-05-11,22
2020-05-12,34
2020-05-13,80
2020-05-14,11
2020-05-15,47
2020-05-16,28
2020-05-17,28
2020-05-18,22
2020-05-19,45
2020-05-20,57
2020-05-21,35
2020-05-22,49
2020-05-23,39
2020-05-24,29
2020-05-25,68
2020-05-26,23
2020-05-27,35
2020-05-28,33
2020-05-29,11
2020-05-30,14
2020-05-31,28
2020-06-01,0
2020-06-02,68
2020-06-03,22
2020-06-04,11
2020-06-05,33
2020-06-06,40
2020-06-07,28
2020-06-08,22
2020-06-09,45
2020-06-10,36
2020-06-11,45
2020-06-12,12
2020-06-13,30
2020-06-14,0
2020-06-15,24
2020-06-16,24
2020-06-17,49
2020-06-18,37
2020-06-19,13
2020-06-20,0
2020-06-21,30
2020-06-22,38
2020-06-23,12
2020-06-24,37
2020-06-25,25
2020-06-26,77
2020-06-27,42
2020-06-28,68
2020-06-29,50
2020-06-30,12
2020-07-01,38
2020-07-02,66
2020-07-03,27
2020-07-04,32
2020-07-05,16
2020-07-06,38
2020-07-07,25
2020-07-08,88
2020-07-09,13
2020-07-10,77
2020-07-11,15
2020-07-12,75
2020-07-13,26
2020-07-14,90
2020-07-15,52
2020-07-16,13
2020-07-17,53
2020-07-18,62
2020-07-19,31
