Category: All categories

Day,"""covid symptoms"": (Ohio)"
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,3
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,3
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,3
2020-03-10,3
2020-03-11,5
2020-03-12,3
2020-03-13,8
2020-03-14,7
2020-03-15,10
2020-03-16,21
2020-03-17,9
2020-03-18,11
2020-03-19,9
2020-03-20,6
2020-03-21,11
2020-03-22,3
2020-03-23,11
2020-03-24,16
2020-03-25,12
2020-03-26,13
2020-03-27,15
2020-03-28,10
2020-03-29,11
2020-03-30,9
2020-03-31,6
2020-04-01,15
2020-04-02,25
2020-04-03,9
2020-04-04,12
2020-04-05,13
2020-04-06,22
2020-04-07,47
2020-04-08,34
2020-04-09,29
2020-04-10,25
2020-04-11,25
2020-04-12,36
2020-04-13,37
2020-04-14,31
2020-04-15,28
2020-04-16,32
2020-04-17,35
2020-04-18,20
2020-04-19,24
2020-04-20,38
2020-04-21,30
2020-04-22,35
2020-04-23,29
2020-04-24,24
2020-04-25,21
2020-04-26,31
2020-04-27,27
2020-04-28,32
2020-04-29,29
2020-04-30,27
2020-05-01,13
2020-05-02,17
2020-05-03,15
2020-05-04,10
2020-05-05,31
2020-05-06,39
2020-05-07,28
2020-05-08,27
2020-05-09,27
2020-05-10,23
2020-05-11,32
2020-05-12,31
2020-05-13,29
2020-05-14,21
2020-05-15,30
2020-05-16,17
2020-05-17,24
2020-05-18,20
2020-05-19,17
2020-05-20,13
2020-05-21,17
2020-05-22,23
2020-05-23,25
2020-05-24,18
2020-05-25,23
2020-05-26,27
2020-05-27,20
2020-05-28,27
2020-05-29,22
2020-05-30,27
2020-05-31,24
2020-06-01,23
2020-06-02,24
2020-06-03,25
2020-06-04,24
2020-06-05,9
2020-06-06,22
2020-06-07,28
2020-06-08,9
2020-06-09,18
2020-06-10,21
2020-06-11,15
2020-06-12,13
2020-06-13,30
2020-06-14,20
2020-06-15,27
2020-06-16,31
2020-06-17,23
2020-06-18,20
2020-06-19,15
2020-06-20,26
2020-06-21,24
2020-06-22,26
2020-06-23,15
2020-06-24,20
2020-06-25,22
2020-06-26,40
2020-06-27,46
2020-06-28,48
2020-06-29,53
2020-06-30,52
2020-07-01,58
2020-07-02,77
2020-07-03,51
2020-07-04,57
2020-07-05,43
2020-07-06,59
2020-07-07,89
2020-07-08,87
2020-07-09,86
2020-07-10,87
2020-07-11,93
2020-07-12,85
2020-07-13,98
2020-07-14,100
2020-07-15,84
2020-07-16,82
2020-07-17,74
2020-07-18,69
2020-07-19,72
